Text,Sentiment
in in a way I want to get rid of swiggy account and dinjot wish to place food order by myself and my friends through swiggy going forward so please advise how to get rid of swiggy account,neutral
,
IND my order cancelled due to delivery problem and they said they ll reorder it and give me 50 bucks compensation Nothing has happened till now No way to connect to you disappointed nomoreUbereats in regret not ordering from you,negative
,
Swiggy 30 minutes fail They gave nuts free i e Rs 30 First they bump the price by Rs20 or 30 on every menu item And they give 30 cash back swiggy swiggyfail 30minsfail,negative
,
in in how to remove discount coupon from swiggy account,neutral
,
RT in hope swiggy won t ask for money to exit swiggy account C,neutral
,
Starting at the Swiggy food tracker doesn t help just getting hungrier by the second,neutral
,
in hope swiggy won t ask for money to exit swiggy account Chef in,neutral
,
in horrible service 4 people at swiggy giving me 4 different solutions Pull up your socks Order placed at 2045 hrs and still not assigned and delivered Please pull up people involved,negative
,
in Horrible service from Swiggy Wait for food for over an hour and nothing Delivery person just couldn t care less about being late Customer care reps seem equally entitled and non helpful Horrible really swiggysucks,negative
,
RT in in Chef,neutral
,
in in Chef,neutral
,
in one company indians hate the most is and you guys are completely following there footsteps wow second worst indian company i have ever seen worst customer experience evern thank you,negative
,
I get swiggy ippove appapo,neutral
,
grinder Mumbai city has dozens of online food delivery service in IND,neutral
,
RT Allowed by Nepotism King failed Railway minister and wrong people chooser We need,negative
,
in just threw the cold food you delivered after more than an hour and 15 odd mins the food was bad and I cannot wait another 1 5 hours for the replacement The restaurant was a km away No rains No traffic IND,negative
,
in Include GoI let them know how eCommerce is looting the common people,negative
,
Swiggy delivering 2 days old stale smelly food to Super customer in and not even refunding on complaint poorservice,negative
,
Hahahahah Can we send her some cupcakes please Sh deserves it in anyone,neutral
,
data not working on iPhone XS on specific applications What s app Facebook amp YouTube only working Lots of website not opening in safari iCloud mail is not working Twitter is not working amazon Flipkart Cleartrip MakeMyTrip Swiggy is not working,neutral
,
in please assist,neutral
,
Foodpanda is waste of time and money Stop wasting your time They will never deliver order and never refund money in is much more better And Panda ji do not ask me order id etc No point in going in this loop you can never help,positive
,
in Dear Inefficient customer haraasment team please respond to this email quickly,negative
,
K9472 We re sorry to hear you find the offers we have for Swiggy SUPER inadequate Subhajit We re coming up with a lot more offers for our SUPER subscribers soon Do hang in there and you won t regret having subscribed Rahul R,positive
,
RT 3 3 Further India s top internet ventures are bleeding cash The combined losses at Paytm Flipkart MakeMyTrip India Swigg,positive
,
in Worst food delivery app ever in the whole world Its better to use IND They are far more better and professional than swiggy,negative
,
in What is fssai doing just need to verify in and take action It s risk and poison served by in,negative
,
swiggyads what kind of ads swiggy is promoting mother is playing video games with son and does not want to make food and instead orders from outside,positive
,
Pop Order placed 48minutes ago delivery boy reached there within 5minutes and still there is no update since then what the hell is this in,neutral
,
RT FITNESSS Order no 3978128382951627I faced horrible experience with Swiggy I ordered from Chaayosversova desi chai the cost is,negative
,
you guys win this time But swiggy always my fav,positive
,
fitness in Yes for sure we should teach them some lessons our health safety is supposed to be their first priority,positive
,
4everPK Ha swiggy zomato card cash food orders is emotion,neutral
,
RT Ola and foodpanda is quite a pathetic combination Foodpanda doing what it does best order shows picked and then cancelled a,neutral
,
RT Dear just to let you know Jeevan charges INR 29 for a puranpoli when ordered directly from the restaurant The,positive
,
in yesterday i ordered the food at 10 20pm and today its showing restaurant is currently closed whats new is cooking up by in they charge higher price for exclusive restaurant,positive
,
StartUpIndia Hungry to expand India s five best funded startups lost more than 1 billion Paytm Flipkart MakeMyTrip India Swiggy and Zomato lost Rs 7800 crore in FY 2018 data from business research platform Tofler showed,positive
,
in is doing customer arm twisting,neutral
,
in Seriously that makes a difference Posting this with a smile on my face Thanks for being my food partner Keep serving the same way,positive
,
Ola and foodpanda is quite a pathetic combination Foodpanda doing what it does best order shows picked and then cancelled after waiting for an hour Back to swiggy and ubereats foodpanda failpanda,neutral
,
in Shit man,negative
,
RT india Our lunchboxes are Wednesday neutralizers Promise Now available on amp in Lunchbox Homestyle Whol,positive
,
With 2 000 women coming as potential delivery personnel in is also taking measures to provide safe delivery zones for them fooddelivery deliveryservice,positive
,
RT eScams of eCommerce companies like in allowed by,neutral
,
in one more arm twisting tactics by swiggy they credit coupon on their own and when I asked them to remove it as I don t need they respond like this What a pathetic customer expierence,positive
,
Love you in,positive
,
in This is how you guys deliver pasta I mean pasta sauce wasn t in pasta but was present everywhere in the bag BhautSahi,negative
,
in getting same benefits as non swiggy members in terms of discounts and promotions then what is the use of swiggy super will not subscribe anymore in the future,positive
,
RT adlakha in Wow such a great thing happened tonight See images for a small little cockroach inside the aalo sabzi which,positive
,
in I ve always cross checked the prices So far haven t been cheated,positive
,
Order number 25196443071 Swiggy did you miss something i do Few items are missing in my order I was not expecting this kind of treatment,negative
,
in I always adorned and respected your growth story I followed it closely however never ordered food before Yesterday I got a chance to order and was delighted with the 50 offer provided for first five order But after the first order the,positive
,
This is bullshit in day a sorry is not enough,negative
,
RT in no response from swiggy customer care they are trained and paid to insult customers,neutral
,
in no response from swiggy customer care they are trained and paid to insult customers,neutral
,
in Kota Services is Started or yet to start,neutral
,
RT in I got food pack and the food contains cockroaches I felt sick after eating this food I asked them regarding thi,negative
,
in one more example if pathetic customer service,negative
,
in They make u fool by discounting the items so that people will order from them but this is their strategy to make u fool,neutral
,
RT Today I ordered food Order Id 20762937082 from kasturi restaurant through Found Cockroach inside food I am not,neutral
,
RT Today I ordered food Order Id 20762937082 from kasturi restaurant through Swiggy Found Cockroach inside food I am not t,neutral
,
RT INDIA in Today I ordered food from in Bangalore the restaurant was organic f,neutral
,
RT VIT in We have found a dead cockroach inside our food which we had ordered today from swiggy,negative
,
in I totally threw the food in bin If i eat it then surely i will vomit it also Dont use swiggy,negative
,
RT Found a cockroach in my food from in Customer care executive offered their sincere apologies and a re,positive
,
RT in unwanted flavour CockRoach in my food Spoilt my mood as well as dinner highly disappoint,positive
,
RT in so it s more than 48 hours amp I still haven t heard from you I guess you are still serving Cockroa,positive
,
RT Found a fried cockroach in the veg biryani we ordered from via in Absolutely disgusted,negative
,
RT Hey in is this your service you are providing cockroach in veg food and then denying the refund of the order and p,neutral
,
Inflated prices along with cockroaches Best deals from in,negative
,
Nothing can happen to this fucking app always have issues use uber eats or swiggy the best app for order food,positive
,
RT You guys don t have any restaurant standards for hygeine I found a cockroach in the food that I ordered fro,neutral
,
RT in look whom I found in today s breakfast order cockroach pathetic swiggy order 24724521785 I will not ord,negative
,
RT I ordered food from swiggy and i found cockroach in the food swiggy badquality,neutral
,
in Guess you have lost it Such cheap promotions won t help you are among one of the worst refer to my account and then to this screen shot,negative
,
RT Many times I have felt it That s y I go on COD nowadays But let it be in or I see a,positive
,
1 5 Review on in by sinharoysatabdi Bad experience,negative
,
RT Share with your friends Rates are not correct While ordering rate is shown 130 for half kg,negative
,
Allowed by Nepotism King failed Railway minister and wrong people chooser We need eGovernance protection from eScams of eCommerce companies like in so please provide the same MeitY,negative
,
RT What does striking out and putting the same rate mean in,positive
,
in worst customer service ever your executives need to be trained how to use Google or how to ask address it take 1 5 hours to search one building when he s in the same locality it s DAMN ANNOYING SICK,negative
,
fooddelivery Ultimate Winner of competition is Restaurant packing amp in invoice Chalo Let s Relish unicorns,neutral
,
in Along with bad stale food,negative
,
in Dont use swiggy they only make u fool Its better to use IND,positive
,
What a poor service Trying to book a cake for birthday since morning but still not able to And it s night now Each time getting error from swiggy,negative
,
RT Really in Packing charges for packaged cold drink that you deliver by hand And one you re already selling at mo,negative
,
RT Hi in let me explain something In India we have a concept called MRP Maximum Retail Price it means that any cost c,neutral
,
Allowed by Nepotism King failed Railway minister and wrong people chooser We need eGovernance protection from eScams of eCommerce companies like in so please provide the same MeitY,negative
,
RT Mrp of mc aloo tikki medium meal at store is 140 which is inclusive of GST Take away charge at store is 8 rs But look at,neutral
,
RT in how can you charge a GST on an MRP product This is wrong pricing and against the rules https,negative
,
in dont order from swiggy They are fraud people Recently order from sgf restaurant from swiggy and they deliver totally burnt cold stale food I complaint on swiggy and they tell that they did not do anything as they are only platform to deliver the food,negative
,
RT Dear please take note of illegal activity by in who allows hotels to overcharge consumers over and abov,negative
,
25 above MRP by in and Nepotism king is still jumping,neutral
,
in I public request all to NOT TO ORDER FOOD USING SWIGGY APP they are expert in insulting customers,negative
,
in Why on earth you can t ensure only serviceable restaurants to location selected are displayed Why checking only before payment Rearchitect your app guys So frustrating,negative
,
in after 7 8 days i did nt receive my refund amount,neutral
,
RT I agree to dis Swiggy is charging incorrectly for many of the outlets who mite be famous amp not ready to shar,negative
,
in swiggy found a new way to deliver inferior customer service and insulting customers,negative
,
in,neutral
,
Continuous failure of Bank cc via on in SAD,negative
,
in my order hasn t been delivered since more than 1 HOUR your executive doesn t recieved neither does the call connect to your helpline 2 ORDERS ONE REACHES WE FINISH IT TOO THE OTHER ONE IS STILL ASKING IF I HAVE MENTION RIGHT ADDRESS,negative
,
RT in I ordered kaju dalmoth and moong dalmoth worth rupees 225 and 125 respectively I recieved E,positive
,
Allowed by Nepotism King failed Railway minister and wrong people chooser We need eGovernance protection from eScams of eCommerce companies like in so please provide the same MeitY,negative
,
RT in I order 2 bottles of cold drink for 50 each which has MRP of 35 each Had a talk wi,negative
,
in Register on Swiggy with IUWBFN and earn Rs 100 Download on,neutral
,
IND in Register on Swiggy with IUWBFN and earn Rs 100 Download on,neutral
,
Patel oo7 Register on Swiggy with IUWBFN and earn Rs 100 Download on,neutral
,
Register on Swiggy with IUWBFN and earn Rs 100 Download on,neutral
,
Allowed by Nepotism King failed Railway minister and wrong people chooser We need eGovernance protection from eScams of eCommerce companies like in so please provide the same MeitY,negative
,
Register on Swiggy with IUWBFN and earn Rs 100 Download on StarMoviesSecretScreening,neutral
,
RT in If so what does the bill from in say Are the people being charged cheated SwiggyCharge,neutral
,
RT in All taxes are included in MRP including GST You can t charge more than the MRP,positive
,
RT i read a post which said MRP is inclusive of GST If that s the case in charges GST on top of MRP,positive
,
RT ENG Want the latest info on sales and promotions new products recipes and more Sign up for our weekly email,positive
,
in Rs 34 packaging charges Are you packing it in bloody gold plated papers or what Will rather visit the local cafe,negative
,
in Been over 3 months since then no response no reply no action unprofessional,negative
,
RT in now I understand how you are growing your business by messing up order worth RS 247 and then d,negative
,
in now I understand how you are growing your business by messing up order worth RS 247 and then donating RS 100 coupon to the customer to insult him Stop doing this,negative
,
RT so much harassment over a cup of tea I deleted swiggy appwillcirculate widely on social media NEVER 2ORD,negative
,
please don t insult me and my family by crediting coupon if RS 100 on your own without me asking for it you had deliberately disgusted me by delivering pathetic food to me and my family on the mist important day of ours,negative
,
RT reviews Why in does not follow the MRP price They are showing a MRP price which is higher than actual In KFC zinger,positive
,
Allowed by Nepotism King failed Railway minister and wrong people chooser We need eGovernance protection from eScams of eCommerce companies like in so please provide the same MeitY,negative
,
in Have,neutral
,
in Not taking sides here but we as users haven t become dependent on apps like swiggy and that s their whole purpose we don t realise we also order potential bad customer service along with food,negative
,
RT World War I World War II Swiggy vs Zomato,neutral
,
RT My first time on With address and location my order was cancelled because I couldn t be reached for 5 mins,negative
,
in Poor Service Had to wait for a long time and got disappointed Finally ended up ordering from an other restaurant who can can serve me fast,negative
,
Consumers have only one addiction that of good experience It has turned sour with in amd their cockroaches,positive
,
RT Projects like Pre Ordering and EDVO have kept me agile and helped me learn new concepts at Swiggy It s amazing how I m ab,positive
,
kalpesh in You have then applied a coupon of 50 and the price came down to 77 Then total then paid by you is Rs 102 77 25 delivery charge Having said this we do understand that checkout page should be more simplified and we have taken this up as a feedback Lakshmi,positive
,
Undhi but order chesesa swiggy nunchi,neutral
,
kalpesh in When it comes to the checkout page the actual price will be displayed and then the discount will be deducted altogether Based on the price you see on the menu the bill should be 24 66 42 132 and after adding the taxes and packaging charges the total becomes 154,neutral
,
RT May be the VCs sensed the heat But it won t matter unless the users of such,neutral
,
FITNESSS fitness in We have it covered no worries Also if you see such an issue just ask to share the Complaint Management System CMS link and they will respond Let s together make these brands and non brands accountable foodsafety BrandsAreOrdinary,negative
,
Ordered food from swiggy first time with Amazonpay as it was mentioned 100rs cash back for first 3 orders I dint get any cash back its been 3 days Just dont advertise or cheat people with falseclaims cashback,positive
,
in i have never ever experienced the bad and pathetic kinda services refunding amount takes 2months and today i had a conversation with representative for the same he closed the chat I am going to escalated the case to higher authorities,negative
,
Swiggy Paneer biryani,neutral
,
May be the VCs sensed the heat But it won t matter unless the users of such delivery apps quit or curb down using it I quit when I understood 1 It is an addiction 2 I am spending too much on it 3 Outside food is bad for health 4 Swiggy sucks,negative
,
RT FITNESSS fitness could you please,neutral
,
RT in check this before ordering thru in,neutral
,
RT FITNESSS Did you notice Twitter quietly turned,neutral
,
FITNESSS fitness could you please keep note of this tweet and link given by So that in future you can directly share this info to consumers Because like in and also deserves some action for their poor service,negative
,
pspk swiggy Uber eats parledhu ga foodpanda waste ekuva restaurants undavu,negative
,
in Tu Jain hai shaayad Tum logon ka toh blood group bhi MC ve hota hai,neutral
,
Anecdata alert Zomato is giving Swiggy a great run for their money in Bengaluru Seen a significant increase in red shirted delivery boys in the last month month and a half,positive
,
RT Let s come closer to the ones who matter the most amp create memories together Express your love with the Bottled wit,positive
,
in why are you not giving original restaurant bill with order How do i know i am getting order from the same restaurant What the f i make out of this bill Not even GST information keep check,positive
,
in this app doesn t work properly most of the time it says that the area is unserviceable city Bhubaneswar,positive
,
India s top internet ventures are bleeding the combined losses at Paytm Flipkart MakeMyTrip India Swiggy and Zomato stood at 7 800 crore 1 08 billion at current rates in FY18,positive
,
Suade13 thanks bro bro,positive
,
Swiggy will recruit 2 000 women delivery personnel by March 2019,neutral
,
in so according to swiggy and their restaurant partner this is butter naan This is new way to make fool of customer,positive
,
Happy birthday T Harp,positive
,
dominospizza Swiggy worst combination to order food pathetic service by both of you you just blame each other and only customer is the one who pays you and suffers as well,negative
,
in despite accepting my order I am getting a call now from the restro saying they don t have the item and I will be delivered different item What s going on,neutral
,
Swiggy first you say off on 5 orders worth rs 100 in order50 and when once ordered then that code isn t valid Why so in,positive
,
Yes in my ooru I m my own swiggy with this Batmobile,positive
,
in you are almost like for me,neutral
,
Swiggy to engage 2 000 women for food delivery by March 2019,neutral
,
You are but no swiggy in yuvar ooru no,neutral
,
Swiggy karo,neutral
,
in kindly look into this this could be a game changer,positive
,
Thank you for the Infinitely MARVELlous creations We ll miss you,neutral
,
Tokyo ku laam swiggy illaiye,neutral
,
Oh swiggy I just had to mention in my order that I wanted saltless fries hence I cancelled and re ordered but y all ate my coupon and the reordered order got cancelled by restaurant So I lost 2 coupons and got no food in,neutral
,
kalpesh Damn how they are fooling us in Why not price are same for booking and for payment,neutral
,
Freshmenu is a restaurant listed on Swiggy,neutral
,
in As a regular customer I use to order food from your app and I am a super customer as well today I had ordered food on COD the cost of bill was 330 I gave 2000 rs note and he gave back 1K and said he don t have change and he will get me back 670rs by getting it changed,positive
,
SWIGGY,neutral
,
in check this before ordering thru in,neutral
,
in egg biryani como is Vegetarian meal,neutral
,
FITNESSS Locha in pricing locha in quality locha in quantity Too much price to pay for convenience Swiggy is a bubble waiting to burst Chaayos used to be good but it s deteriorating by the day,positive
,
we don t have swiggy in kashmir,neutral
,
order on swiggy,neutral
,
Dear in My outlet has a POC who has not spoken to me once also verbally All he wants is to mail me for everything Swiggy Pop Advertising and Marketing of the outlet Registration of my new outlet all needs to be discussed Your Team is least bothered,positive
,
im rising complaint regarding food related issues and you ppl assured me to return back my amount but still my wallet dint receive any amount in,negative
,
RT in Its a bigger scam they are charging rate difference and not pro,neutral
,
hey swiggy how about giving an option to order for someone else Like Uber does for cabs Or atleast give an option to share the delivery person s location to others,neutral
,
2019 2000 Swiggy food India chitralekha Delivery,neutral
,
Thanks swiggy resolving issue now need to act to improve,positive
,
in Oh ok,positive
,
in consumer shameless and uncultured people Arrogance has become a corner Stone for this successful business It s time some other company blow this one out of the water You can t disrespect a customer you are getting paid for service not insult s,positive
,
in I use their gold But what I wanted was seiggy exclusive,neutral
,
in We re sorry to hear you ve had to endure an ordeal with our customer service Shivank Losing longstanding patrons is the last thing we d want and we do not condone this behaviour Could we ask you to elaborate over DMs so we could make amends Rahul R,neutral
,
in Bro do switch to,neutral
,
Paytm Flipkart MakeMyTrip India Swiggy and Zomato Five of India s best funded startups lost over a billion dollars in 2018,positive
,
Mera order kab aayega in waalon subah se bhukha hu,neutral
,
in Hey I am not able to get delivery from your app The restaurant is showing in my location and at payment it shows I am at a new location Please check I have ordered from the same restaurants at the same location before,negative
,
in it s such a shame that serving your customers for so long and With so much love is now a victim of over confidence and rudeness Please don t act like a tyrant Your customer care experience is like talking to a mob boss I didn t pay to argue You just lost a customer,negative
,
Hey in After 1 30 hr wait your exec said that they cannot deliver the order What an awesome work unicorn as if worth it,positive
,
poorservice swiggy Please stop ordering food from them,neutral
,
Five of India s best funded startups lost over a billion dollars in 2018 via,positive
,
bye blockhead Message maar dete sister Swiggy ke 2 3 coupon hai mere pass Order maardeta pizza,negative
,
in Order got cancelled after 5 hours Horrible service from swiggy This has happened with me numerous times I think its of no use So will uninstall it soon,negative
,
in Placed an order but an item was missing Ordered 2 sandwiches but received only 1 On complaining they told me that they cant do anything I will not order anything from here now because i would not b able to do anything incase they dont deliver the item which is expensiv,negative
,
in I am unhappy with the delivery of my order as the request being made by me was not complied Really unhappy Anil 9699047724,negative
,
FITNESSS Did you notice Twitter quietly turned of the swiggy complaint feed made it non discoverable Because it was slowly snowballing into a major embarrassement for swiggy with loads of others retweeting it Same thing will happen here too,negative
,
RT Craving for your favourite KillaHotel authentic MaharashtrianFood Now satisfy that by sitting at your own place whethe,positive
,
Missing Homestyle Food by staying far away from Home Or just sick of paying for those overpriced Menus Look no further and order authentic homestyle food from Homely on Swiggy We at Kadchi Strongly recommend you to try Homely,positive
,
I have faced the most rude delivery guy today from Swiggy He took 90 minutes to deliver the order When I asked why he answered you should have canceled the order And you will know if you are at my place The food was superb cold,positive
,
Sunday i had received 11 messges even after calling u in saturday same thing told me on saturday and i recived 11 msgs in return on sunday what is my fault shoud i advise people not to join swiggy how can I trust now Give me call i want to talk to ur executive 9429622975,neutral
,
in Chicken Tandoor Grill Combo Burger,negative
,
in haha quite some time for sure,positive
,
in Item missing from the order No intimation was provided at the time of order placing or no communication from the restaurant reg the same Now am expected to wait another hour for the partial order while the delivered items go cold Will you accept as a customer,negative
,
in Not sure how your customer support team has been trained Seriously don t expect such a response from them,negative
,
RT This is the Best Food I have ever Order on Swigy I wish I could give 10 Star to it Just loved it And thanks to both,positive
,
in I hv order from swiggy frm my frnds fone on 8 Nov But due to sm technical fault by swiggy the order go cancelled I called swiggy dey told me tht I wll getting my money back But today wen I pinged swiggy to check the status They are tellin me that I will not get refund,negative
,
RT Swiggy to engage about 2 000 women as delivery personnel by March 2019,neutral
,
Five of India s best funded startups lost over a billion dollars in 2018,positive
,
Five of India s best funded startups lost over a billion dollars in 2018 startup,positive
,
in Lol kalaolichitta Rama Po po thanniya kudi,positive
,
Swiggy to engage about 2 000 women as delivery personnel by March 2019,neutral
,
Register on Swiggy with I80PDZ and earn Rs 100 Download on,neutral
,
Ok in,positive
,
in,neutral
,
RT inside in Nt only in bt also nd have started to rot in thr servi,neutral
,
Swiggy messages Nuisances in I receive so much of spam messges regarding joining to swiggy I had contacted ur customer care they didnt even replied It is really irritating Still any solution not come Screen shots are attached call me i want quick reply,positive
,
Hey in no wonder why that s the best seller You may want to look into it though,positive
,
in my order no is 25185441907 Food I received is too bad it s smelling I called your customer support system response was too bad If u can t help than shut down your plateform,negative
,
If Farhan from 3 idiots was born in the same Muslim family now they would give more career options like Swiggy Delivery Man Uber Driver Barber or Gym Trainer NoOffence,negative
,
If this type of inequality prevails then I hardly think of renewing my Super swiggy membership,positive
,
A doughnut a day keeps all your worries away Order now on in,neutral
,
This is so irritating in I have been called at Nashik office for hotel onbording finally after a month Sitting here since an hour an nobody is interesting in attending us The executive s name is Suraj from Nashik office ShameOnYou worstcompany worstservice,positive
,
RT 1,neutral
,
RT sendai news 1 23 0 1 19 at TSUTAYA O nest,neutral
